Methods	Root	Root_Error	NNI_Error	Diamond	nTrees	h_0	h_1	h_2
InferNetwork_MPL	r1	0.1	0.1	d8	100	0	73	27
InferNetwork_MPL	r1	0.1	0.1	d8	500	0	97	3
InferNetwork_MPL	r1	0.1	0.1	d8	1000	0	93	7
InferNetwork_MPL	r1	0.1	0.1	d8	5000	0	95	5
InferNetwork_MPL	r1	0.1	0.1	d9	100	0	80	20
InferNetwork_MPL	r1	0.1	0.1	d9	500	0	91	9
InferNetwork_MPL	r1	0.1	0.1	d9	1000	0	83	17
InferNetwork_MPL	r1	0.1	0.1	d9	5000	0	79	21
InferNetwork_MPL	r1	0.3	0	d1	100	0	70	30
InferNetwork_MPL	r1	0.3	0	d1	500	0	88	12
InferNetwork_MPL	r1	0.3	0	d1	1000	0	94	6
InferNetwork_MPL	r1	0.3	0	d1	5000	0	90	10
InferNetwork_MPL	r1	0.3	0	d2	100	0	65	35
InferNetwork_MPL	r1	0.3	0	d2	500	0	79	21
InferNetwork_MPL	r1	0.3	0	d2	1000	0	91	9
InferNetwork_MPL	r1	0.3	0	d2	5000	0	89	11
InferNetwork_MPL	r1	0.3	0	d3	100	0	78	22
InferNetwork_MPL	r1	0.3	0	d3	500	0	90	10
InferNetwork_MPL	r1	0.3	0	d3	1000	0	91	9
InferNetwork_MPL	r1	0.3	0	d3	5000	0	87	13
InferNetwork_MPL	r1	0.3	0	d4	100	0	70	30
InferNetwork_MPL	r1	0.3	0	d4	500	0	83	17
InferNetwork_MPL	r1	0.3	0	d4	1000	0	83	17
InferNetwork_MPL	r1	0.3	0	d4	5000	0	78	22
InferNetwork_MPL	r1	0.3	0	d5	100	0	84	16
InferNetwork_MPL	r1	0.3	0	d5	500	0	84	16
InferNetwork_MPL	r1	0.3	0	d5	1000	0	91	9
InferNetwork_MPL	r1	0.3	0	d5	5000	0	81	19
InferNetwork_MPL	r1	0.3	0	d6	100	0	73	27
InferNetwork_MPL	r1	0.3	0	d6	500	0	94	6
InferNetwork_MPL	r1	0.3	0	d6	1000	0	93	7
InferNetwork_MPL	r1	0.3	0	d6	5000	0	92	8
InferNetwork_MPL	r1	0.3	0	d7	100	0	64	36
